Position,"Track Name",Artist,Streams,URL
1,"One Kiss (with Dua Lipa)","Calvin Harris",44984,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
2,"Leave a Light On","Tom Walker",26041,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
3,"No Tears Left To Cry","Ariana Grande",24595,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
4,FRIENDS,Marshmello,23357,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
5,"God's Plan",Drake,22056,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
6,"Better Now","Post Malone",22047,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
7,Nevermind,"Dennis Lloyd",21114,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
8,"Nice For What",Drake,20647,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
9,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,19045,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
10,"Back To You","Selena Gomez",19025,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
11,"The Middle",Zedd,18998,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
12,Flames,"David Guetta",18675,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
13,"This Is America","Childish Gambino",18505,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
14,"Remind Me to Forget",Kygo,18319,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
15,"In My Blood","Shawn Mendes",17498,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
16,"All I Need (with Gucci Mane)","Dimitri Vegas & Like Mike",17267,https://open.spotify.com/track/2OSsMwCiZPC44tJ4OPVSZF
17,X,"Nicky Jam",16844,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
18,IDGAF,"Dua Lipa",16805,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
19,Melody,"Lost Frequencies",16324,https://open.spotify.com/track/5r49JKf2vWBF0CQjZewJ0O
20,"Solo (feat. Demi Lovato)","Clean Bandit",15806,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
21,"Psycho (feat. Ty Dolla $ign)","Post Malone",15253,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
22,Ellie,Regi,15108,https://open.spotify.com/track/2NPiBHafyMwJXvSemJ2S0F
23,"La même","Maître Gims",15086,https://open.spotify.com/track/7HK0UeyxUWJjc6ndRZVKFg
24,"Love Lies (with Normani)",Khalid,14972,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
25,"I Like It","Cardi B",14326,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
26,Havana,"Camila Cabello",14225,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
27,"Praise The Lord (Da Shine)","A$AP Rocky",13877,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
28,"Youth feat. Khalid","Shawn Mendes",13764,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
29,"Like I Do","David Guetta",13728,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
