Position,"Track Name",Artist,Streams,URL
1,"Te Boté - Remix","Nio Garcia",251308,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
2,Dimelo,"Paulo Londra",167155,https://open.spotify.com/track/3uwehoqKSQLa5lFFvIX6M3
3,X,"Nicky Jam",156782,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
4,"Me Niego",Reik,156665,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
5,"Te Amo","Piso 21",141715,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
6,"Sin Pijama","Becky G",120051,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
7,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",117961,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
8,"Madura (feat. Bad Bunny)",Cosculluela,110097,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
9,"Dura - Remix","Daddy Yankee",104529,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
10,"Hijo De La Noche",Duki,103096,https://open.spotify.com/track/2p1AlnJxp15v7ohNuLwjbl
11,"Como Le Digo",Khea,96505,https://open.spotify.com/track/2fxJDRmUMatqyZ6ZOQi7RD
12,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",95674,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
13,"Bella - Remix",Wolfine,90543,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
14,"El Préstamo",Maluma,89034,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
15,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",82779,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
16,"Síguelo Bailando",Ozuna,81863,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
17,Besame,Bhavi,78121,https://open.spotify.com/track/656wIOnR8PkaTASJAjd1pH
18,"No Hay Nadie Más","Sebastian Yatra",75001,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
19,"La Player (Bandolera)","Zion & Lennox",73630,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
20,"Loca Remix",Khea,71240,https://open.spotify.com/track/2CRbiMK0W14l71SpDKqKZM
21,Unica,Ozuna,70800,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
22,Piso,"Mueva Records",69200,https://open.spotify.com/track/42Lf4QlvHCXrIZOPuUOeGC
23,"Quavo #Mododiablo",Duki,69040,https://open.spotify.com/track/7HLHYxRkEAWr90BGYxk15F
24,"Mi Cubana Remix","Eladio Carrion",67574,https://open.spotify.com/track/0Th8lfTKVv32mZgXtGOxcd
25,Ahora,"J Balvin",66487,https://open.spotify.com/track/2yBWnRKj0Zx7AF1kufajvW
26,Vete,Khea,65087,https://open.spotify.com/track/2rZB6indPhp8C5AZK1PpkS
27,"Por Perro","Sebastian Yatra",64489,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
28,Bella,Wolfine,63936,https://open.spotify.com/track/3xcCix7Jv1Rp90YVmgo35D
29,Amorfoda,"Bad Bunny",63745,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
30,Criminal,"Natti Natasha",62829,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
31,"Si Te Sentis Sola",Duki,61257,https://open.spotify.com/track/2Z4VK9otSeq3MxWcEgptUa
32,Ambiente,"J Balvin",60652,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
33,Dura,"Daddy Yankee",59949,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
34,Solita,Ozuna,54555,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
35,Corazón,Maluma,54399,https://open.spotify.com/track/5cepAtqnEQ6yVG6088zMMu
36,"Condenado Para el Millon","Paulo Londra",54234,https://open.spotify.com/track/5UjhWsB5rddZEPlNUcGDLV
37,Marinero,Maluma,53101,https://open.spotify.com/track/6x5LBP3nYXVdIDoomChGr3
38,Sensualidad,"Bad Bunny",52570,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
39,Dembow,"Danny Ocean",52265,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
40,"She Don't Give a Fo",Duki,52263,https://open.spotify.com/track/6S3yaMAF7jB4GfjXdYLsD0
41,"Échame La Culpa","Luis Fonsi",50693,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
42,Downtown,Anitta,48993,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
43,"Quiero Repetir",Ozuna,47358,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
44,"Mi Mala - Remix","Mau y Ricky",46848,https://open.spotify.com/track/6kOHug1s9Nd5gsHrX8irs2
