Position,"Track Name",Artist,Streams,URL
1,"One Night Stand","Capital Bra",36763,https://open.spotify.com/track/4gALhhysObk59C3fxeTLwh
2,Neymar,"Capital Bra",23989,https://open.spotify.com/track/0d0d2CuQSQDF7Q7vNhwA3i
3,Nevermind,"Dennis Lloyd",20734,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
4,"One Kiss (with Dua Lipa)","Calvin Harris",20225,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
5,"Better Now","Post Malone",17887,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
6,Casanova,"Summer Cem",17359,https://open.spotify.com/track/35lIK2q78MSgv3Abb4qAjk
7,"Über Nacht",Gzuz,17295,https://open.spotify.com/track/6ciUAqm3B0sJU57CJIAOby
8,"Wolke 7",Gzuz,14767,https://open.spotify.com/track/40ebjDfdkYrysmll4KF5BR
9,"Fame (feat. RAF Camora)","Kontra K",14126,https://open.spotify.com/track/5KSNUteuNykJDjYiqguIzk
10,"¿ Warum ?",Gzuz,13727,https://open.spotify.com/track/0MCuJk4KeBnweGeMZXc6Br
11,FRIENDS,Marshmello,13568,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
12,"Remind Me to Forget",Kygo,13033,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
13,"Back To You","Selena Gomez",12949,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
14,"In My Blood","Shawn Mendes",12785,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
15,Piccos,Dardan,12143,https://open.spotify.com/track/3Iksy9wPB0Pqazx0WnxBp7
16,"Tamam Tamam","Summer Cem",11669,https://open.spotify.com/track/0Ch40WfKG9UfWmyPVEWxow
17,Flames,"David Guetta",11206,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
18,"Chinchilla (feat. KC Rebell & Capital Bra)","Summer Cem",11140,https://open.spotify.com/track/1A5nTDzLS8ckYOLiQMgtmG
19,Paradise,"George Ezra",11106,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D
20,"No Tears Left To Cry","Ariana Grande",10707,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
21,"Was erlebt",Gzuz,10648,https://open.spotify.com/track/2bCZyD1ObacfnBhYi4t37d
22,"5 Songs in einer Nacht","Capital Bra",10623,https://open.spotify.com/track/51922FOX7bXrEU4jSoxkY5
23,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,10256,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
24,"Change Your Mind",ELI,9581,https://open.spotify.com/track/4kOlyvj9WiPrI4zpmzKAeA
25,"Youth feat. Khalid","Shawn Mendes",9352,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
26,Magisch,Olexesh,9096,https://open.spotify.com/track/4gnuy9VBU2GGrN60UMB79t
27,Barking,Ramz,9037,https://open.spotify.com/track/7amMgNDcObIDkIXv4xcvc2
28,"The Middle",Zedd,8923,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
29,"Nur mit den Echten",Gzuz,8821,https://open.spotify.com/track/5IvYcDXtovuyl1LsHuNYKS
30,Phänomenal,"Pietro Lombardi",8692,https://open.spotify.com/track/5Tz9FKVUOPZ5nMIbuAlRx4
31,"God's Plan",Drake,8655,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
32,"Nice For What",Drake,8635,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
33,"La Cintura","Alvaro Soler",8371,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
34,"This Is America","Childish Gambino",8313,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
35,"Drück Drück",Gzuz,8308,https://open.spotify.com/track/3PnK3iUPKPFWiEkQ0E5s7S
36,X,"Nicky Jam",8284,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
37,IDGAF,"Dua Lipa",8179,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
38,"I Like It","Cardi B",8107,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
39,Primo,"RAF Camora",7941,https://open.spotify.com/track/7y5chiQbuvviOYUfUmOPqo
40,"Psycho (feat. Ty Dolla $ign)","Post Malone",7867,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
41,"Lie to Me","Mikolas Josef",7640,https://open.spotify.com/track/6zBdVVksaTQeAzwfszbovz
42,Halftime,Gzuz,7624,https://open.spotify.com/track/1N9ZAbqVw5o0m7wccSgRIt
43,"Niemals satt",Gzuz,7615,https://open.spotify.com/track/5ICupF8z96kC3iuYfmWnEN
44,Nervous,"Shawn Mendes",7598,https://open.spotify.com/track/0Dq49j3dELbttQVUJbtn0c
45,"Freaky Friday (feat. Chris Brown)","Lil Dicky",7536,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
46,Maserati,"RAF Camora",7514,https://open.spotify.com/track/6Ey4u2VsUbBz52l2cPvuxa
47,"rockstar (feat. 21 Savage)","Post Malone",7306,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
48,"Solo (feat. Demi Lovato)","Clean Bandit",7112,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
49,"Praise The Lord (Da Shine)","A$AP Rocky",6941,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
50,"Love Lies (with Normani)",Khalid,6881,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
51,Melody,"Lost Frequencies",6857,https://open.spotify.com/track/5r49JKf2vWBF0CQjZewJ0O
52,Youngblood,"5 Seconds of Summer",6754,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
53,"An Wunder","Wincent Weiss",6584,https://open.spotify.com/track/1tvLm3VWxauQ1q8po39Io9
54,"Je ne parle pas français - Beatgees Remix",Namika,6464,https://open.spotify.com/track/0LH2h4pwiX1iY3KDuONOb6
55,Träume,Gzuz,6392,https://open.spotify.com/track/05nsEUAMX28XreUlIjgjre
56,"Playinwitme (feat. Kehlani)",KYLE,6220,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
57,Unforgettable,"Robin Schulz",6200,https://open.spotify.com/track/3rvEwBi1mFFHqCnkrGmnWp
58,Eloah,"Sun Diego",6091,https://open.spotify.com/track/7kYC5ilFc6kXN6YagFRemB
59,"Like I Do","David Guetta",6014,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
60,"Netflix & Chill","Kay One",5980,https://open.spotify.com/track/7n3TVLhIYltUm7uzzy6xFK
61,"Say Something","Justin Timberlake",5961,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
62,Überlebt,Azet,5918,https://open.spotify.com/track/5ODK0R10oNrzGrZxRzwHvR
63,"Leave a Light On","Tom Walker",5824,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
64,"Échame La Culpa","Luis Fonsi",5823,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
65,"Was Du Liebe nennst",Bausa,5744,https://open.spotify.com/track/2hIY4sjfMeKwXXh2LvhrMo
66,"¿ Was hast du gedacht ?",Gzuz,5601,https://open.spotify.com/track/4jcj9a4adCkcLD8ufRyjgV
67,"Cool (feat. Marc E. Bassy, Gucci Mane)","Felix Jaehn",5570,https://open.spotify.com/track/3vwVxnq3vQ6NxGVxaiuteR
68,1950,"King Princess",5529,https://open.spotify.com/track/0CZ8lquoTX2Dkg7Ak2inwA
69,"Neuer Tag neues Drama",Gzuz,5503,https://open.spotify.com/track/7ij8a4cio7x3PsjBQ3S0sM
70,"Qa bone",Azet,5484,https://open.spotify.com/track/5mqjWAb4xWdoIr6IZdHpqS
71,"Mwaka Moon - Remix",Kalash,5467,https://open.spotify.com/track/5QONeRJGHsyLwloZIUYyUE
72,"Sick Boy","The Chainsmokers",5413,https://open.spotify.com/track/08hm0V6cTsWDX62hW42sEv
73,"Gotham City","RAF Camora",5410,https://open.spotify.com/track/2axf5shPhjS8qdaGr5MWaS
74,"Bis dass der Tod uns scheidet",Gzuz,5303,https://open.spotify.com/track/3I2lnJZfBEtKsEobwyWXXN
75,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",5175,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
76,"Nobody But You","Cesar Sampson",5091,https://open.spotify.com/track/41gxXNTTz6LNVY2LIKoRHn
77,"More Than You Know","Axwell /\ Ingrosso",5071,https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44
78,"Olé Olé","Capital Bra",5028,https://open.spotify.com/track/4v4ZuW2tjSyyci2BcE5bTp
79,Somebody,"The Chainsmokers",5011,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
80,"I'm Upset",Drake,5010,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
81,Silence,Marshmello,4951,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
82,Diskutieren?!,Gzuz,4948,https://open.spotify.com/track/0Apq23J61mU0kRZGrLxk6p
83,"Ohne mein Team","Bonez MC",4938,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
84,Havana,"Camila Cabello",4858,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
85,"Bugatti Veyron",Kurdo,4787,https://open.spotify.com/track/47mf0FjXwyRyx3VxgVt29z
