Position,"Track Name",Artist,Streams,URL
1,Youngblood,"5 Seconds of Summer",289526,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
2,"Better Now","Post Malone",265547,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
3,"This Is America","Childish Gambino",195219,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
4,"Nice For What",Drake,193684,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
5,"Love Lies (with Normani)",Khalid,181322,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
6,"One Kiss (with Dua Lipa)","Calvin Harris",170900,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
7,"lovely (with Khalid)","Billie Eilish",165721,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
8,"No Tears Left To Cry","Ariana Grande",160315,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
9,"Back To You","Selena Gomez",157595,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
10,OTW,Khalid,143881,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
11,"Psycho (feat. Ty Dolla $ign)","Post Malone",137957,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
12,"I Said Hi","Amy Shark",136514,https://open.spotify.com/track/2MuOQdl7uyEteKYCQtG4XE
13,1950,"King Princess",128199,https://open.spotify.com/track/0CZ8lquoTX2Dkg7Ak2inwA
14,"God's Plan",Drake,126309,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
15,"Youth feat. Khalid","Shawn Mendes",120989,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
16,Nevermind,"Dennis Lloyd",120241,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
17,"I Like It","Cardi B",114900,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
18,"Call Out My Name","The Weeknd",114252,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
19,2002,Anne-Marie,114214,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
20,"In My Blood","Shawn Mendes",110284,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
21,"Just Friends","Hayden James",108115,https://open.spotify.com/track/1quuqraz6z6RusyJZtyDcm
22,"Lucid Dreams","Juice WRLD",104109,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
23,"The Middle",Zedd,103324,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
24,FRIENDS,Marshmello,102557,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
25,"Remind Me to Forget",Kygo,99066,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
26,"Hurt Somebody (With Julia Michaels)","Noah Kahan",98344,https://open.spotify.com/track/026IC4Vj88QjLlnIPDExhz
27,"Playinwitme (feat. Kehlani)",KYLE,98258,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
28,Somebody,"The Chainsmokers",95442,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
29,"rockstar (feat. 21 Savage)","Post Malone",94676,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
30,"Nothing to Regret",Robinson,92746,https://open.spotify.com/track/3C2xQqHVkhA1Ht17SzPRke
31,"Freaky Friday (feat. Chris Brown)","Lil Dicky",88849,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
32,"Praise The Lord (Da Shine)","A$AP Rocky",88502,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
33,"I Fall Apart","Post Malone",87213,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
34,Paranoid,"Post Malone",84703,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
35,"Look Alive (feat. Drake)","BlocBoy JB",81079,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
36,Flames,"David Guetta",80937,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
37,"Better Not (feat. Wafia)","Louis The Child",77724,https://open.spotify.com/track/447yWcDPg1ddgcHBLGpJC0
38,"All The Stars (with SZA)","Kendrick Lamar",76356,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
39,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",75898,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
40,SAD!,XXXTENTACION,75546,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
41,"Solo (feat. Demi Lovato)","Clean Bandit",73053,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
42,Nervous,"Shawn Mendes",71676,https://open.spotify.com/track/0Dq49j3dELbttQVUJbtn0c
43,IDGAF,"Dua Lipa",71180,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
44,"I'm Upset",Drake,70881,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
45,Bloom,"Troye Sivan",69272,https://open.spotify.com/track/1hSOt9IeshMkuKP9ri4hOf
46,"I Wanna Know (feat. Bea Miller)",NOTD,69128,https://open.spotify.com/track/18W92Zm1KjLCbUIszOhpkD
47,"Saturday Sun","Vance Joy",65543,https://open.spotify.com/track/2RiBogNRfulkNf7fVbPOrJ
48,"Let Me",ZAYN,64140,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
49,"Shape of You","Ed Sheeran",64021,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
50,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,62931,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
51,Fire,"Peking Duk",62317,https://open.spotify.com/track/3BZkEOJwKUYRlkLWZB1izC
52,"Ball For Me (feat. Nicki Minaj)","Post Malone",61150,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
53,"Yes Indeed","Lil Baby",59929,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
54,"FAKE LOVE",BTS,57618,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
55,"Where Were You In The Morning?","Shawn Mendes",56803,https://open.spotify.com/track/51wrmElSLxFzc0vSQPeTxs
56,"Taste (feat. Offset)",Tyga,56584,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
57,Happier,"Ed Sheeran",54171,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
58,"Genius - with Sia, Diplo & Labrinth",Sia,52648,https://open.spotify.com/track/73F87Sqh6jQWucOOvz1WFx
59,"Dazed & Confused",Ruel,52616,https://open.spotify.com/track/2pyjbGTpJCPjMYwCbdymiF
60,Mine,Bazzi,50897,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
61,"Lost In Japan","Shawn Mendes",50896,https://open.spotify.com/track/6WBTeFDEfAJbaSUUc1V1xQ
62,"Candy Paint","Post Malone",50791,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
63,"Plug Walk","Rich The Kid",49605,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
64,"Young Dumb & Broke",Khalid,48562,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
65,"No Place","RÜFÜS DU SOL",47231,https://open.spotify.com/track/5DVVw9e4D656vURT3pfnjg
66,Havana,"Camila Cabello",47011,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
67,"River (feat. Ed Sheeran)",Eminem,46766,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
68,Stay,"Post Malone",46152,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
69,"New Rules","Dua Lipa",46036,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
70,"A$AP Forever REMIX","A$AP Rocky",45894,https://open.spotify.com/track/3oHkMCVJyOcjg5FhfLc2Rq
71,"Feel It Still","Portugal. The Man",45395,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
72,HUMBLE.,"Kendrick Lamar",44362,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
73,Wolves,"Selena Gomez",44180,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
74,"Say You Won't Let Go","James Arthur",43733,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
75,"Jocelyn Flores",XXXTENTACION,43632,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
76,Chateau,"Angus & Julia Stone",43436,https://open.spotify.com/track/1LIbTjMdFP15jIXGkcICSU
77,"Walk It Talk It",Migos,43380,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
78,Chun-Li,"Nicki Minaj",43083,https://open.spotify.com/track/2gTYVoQCUh0QNUaFix01ld
79,"Jump (with Trippie Redd)","Julia Michaels",42860,https://open.spotify.com/track/2OvV4NjEBRE9v8Oo7QeUCq
80,"Need You","Flight Facilities",42483,https://open.spotify.com/track/0L0VMu7ovN7rmTtC8QQrqj
