Position,"Track Name",Artist,Streams,URL
1,"Ao Vivo E A Cores","Matheus & Kauan",491473,https://open.spotify.com/track/2Ab1wPTEqulaCGoBak1gUo
2,"Amor Falso","Aldair Playboy",484981,https://open.spotify.com/track/00zzSEe82JTtz68XlARnh7
3,"Propaganda - Ao Vivo","Jorge & Mateus",434748,https://open.spotify.com/track/74n5d5M21JnC4WJ6gdkggK
4,"Amor de Verdade","MC Kekel",411682,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
5,"Romance Com Safadeza","Wesley Safadão",398037,https://open.spotify.com/track/0RBOFW5424gCCCZrgECbt6
6,"Jogo do Amor","MC Bruninho",378773,https://open.spotify.com/track/3MxbRHE1u74SoMNR9iURIZ
7,"Só Quer Vrau","MC MM",375959,https://open.spotify.com/track/68uKHxQzoY6gd7YSKJf21J
8,"Largado Às Traças - Ao Vivo","Zé Neto & Cristiano",355958,https://open.spotify.com/track/1IJH7QjV5V99eJBtKXqGXE
9,Fuleragem,"MC WM",335269,https://open.spotify.com/track/6tuzPD1zPPvwMbGiD0TBay
10,"A Culpa É Dele - Ao Vivo | Acústico","Marília Mendonça",315316,https://open.spotify.com/track/6yxYagNp6Gapd7jXmWzgVc
11,"Anti-Amor - Ao Vivo","Gustavo Mioto",281574,https://open.spotify.com/track/7JdZZfozlODQ08ATf8xIZ6
12,"Ta Tum Tum","MC Kevinho",280879,https://open.spotify.com/track/6etab3UBCo5GOTMZqUvRka
13,Ocean,Alok,270098,https://open.spotify.com/track/4nraNqonMyfc0U3o8VeXVu
14,"O Sol","Vitor Kley",269199,https://open.spotify.com/track/3IfctMaf2sfvlSLRa42Cna
15,"Tô Com Moral No Céu! - Ao Vivo","Matheus & Kauan",254027,https://open.spotify.com/track/0uwaiApk6k7k9POyFjTKeR
16,"Amor Da Sua Cama","Felipe Araújo",248310,https://open.spotify.com/track/2cwFhwT6L2D4Olc25nhyZo
17,Indecente,Anitta,245647,https://open.spotify.com/track/5FOCkGt7bp22nBVfQ4WSIT
18,"Apelido Carinhoso","Gusttavo Lima",240553,https://open.spotify.com/track/6wXYGqXCLtEHx4VDb2TPcM
19,"Coladinha em Mim - Ao Vivo","Gustavo Mioto",240293,https://open.spotify.com/track/4JPSfCXQe6kDliMIJTqISW
20,"Vai malandra (feat. Tropkillaz & DJ Yuri Martins)",Anitta,219963,https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7
21,"Trincadinho - Ao Vivo","Jorge & Mateus",210765,https://open.spotify.com/track/5qjMyKkmosPBws5cImS9Zz
22,"Mundo de Ilusões - Ao Vivo","Gusttavo Lima",202405,https://open.spotify.com/track/3UxbT06Mz8aTJbHYYIxwkI
23,"Largado As Traças - Acústico","Zé Neto & Cristiano",197906,https://open.spotify.com/track/74gguwbBvfBTurNJUWFOsC
24,"Cerveja De Garrafa (Fumaça Que Eu Faço) - Ao Vivo","Atitude 67",196721,https://open.spotify.com/track/2PADJK4rhdklqFLQFa5oMX
25,"Bom Rapaz - Ao Vivo","Fernando & Sorocaba",195713,https://open.spotify.com/track/5Zha6IxtfsLjqLYndyWcER
26,Papum,"MC Kevinho",188908,https://open.spotify.com/track/5tNnnptCfuLXLHnDqrL9ku
27,"Deixe Me Ir - Acústico",1Kilo,185416,https://open.spotify.com/track/2srL4DYBekshpbprS6H0mO
28,"Status Que Eu Não Queria - Ao Vivo","Zé Neto & Cristiano",178029,https://open.spotify.com/track/1fyhyOy6iS9E2NckAzjmTo
29,X,"Nicky Jam",159318,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
30,"One Kiss (with Dua Lipa)","Calvin Harris",159216,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
31,"God's Plan",Drake,156945,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
32,"Pega a Receita","Mc Dede",152480,https://open.spotify.com/track/0nlFCC2xIQqUJpuQIVPl7S
