Position,"Track Name",Artist,Streams,URL
1,"I'm Upset",Drake,244557,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
2,"Nice For What",Drake,225122,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
3,"Better Now","Post Malone",217174,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
4,"Yes Indeed","Lil Baby",186245,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
5,"This Is America","Childish Gambino",169547,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
6,"God's Plan",Drake,143123,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
7,"Psycho (feat. Ty Dolla $ign)","Post Malone",138930,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
8,"I Like It","Cardi B",132969,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
9,Body,"Loud Luxury",125271,https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
10,"Look Alive (feat. Drake)","BlocBoy JB",123392,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
11,"One Kiss (with Dua Lipa)","Calvin Harris",122938,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
12,"No Tears Left To Cry","Ariana Grande",119394,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
13,"Lucid Dreams","Juice WRLD",117796,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
14,"Back To You","Selena Gomez",115827,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
15,"rockstar (feat. 21 Savage)","Post Malone",103352,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
16,"Youth feat. Khalid","Shawn Mendes",101854,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
17,Paranoid,"Post Malone",97997,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
18,OTW,Khalid,96858,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
19,"Praise The Lord (Da Shine)","A$AP Rocky",96618,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
20,"Love Lies (with Normani)",Khalid,94355,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
21,"Playinwitme (feat. Kehlani)",KYLE,93522,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
22,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",92195,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
23,"Plug Walk","Rich The Kid",91440,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
24,"Ball For Me (feat. Nicki Minaj)","Post Malone",90917,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
25,Nervous,"Shawn Mendes",90143,https://open.spotify.com/track/0Dq49j3dELbttQVUJbtn0c
26,"In My Blood","Shawn Mendes",87445,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
27,FRIENDS,Marshmello,85864,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
28,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",83822,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
29,TATI,6ix9ine,82499,https://open.spotify.com/track/6kp0inxIexxSiDJfWqq0ZL
30,"The Middle",Zedd,80550,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
31,"Taste (feat. Offset)",Tyga,80231,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
32,"Call Out My Name","The Weeknd",79511,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
33,"Walk It Talk It",Migos,78566,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
34,"What You Want",Belly,76564,https://open.spotify.com/track/4RMqA9GixWNB7H6coZFXJN
35,Nevermind,"Dennis Lloyd",75392,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
36,"Champion (feat. Travis Scott)",NAV,75099,https://open.spotify.com/track/6nO3tr47nr2P7f3hXb8JIo
37,KOD,"J. Cole",73963,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
38,"lovely (with Khalid)","Billie Eilish",72589,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
39,Youngblood,"5 Seconds of Summer",70339,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
40,"Spoil My Night (feat. Swae Lee)","Post Malone",69953,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
41,SAD!,XXXTENTACION,68586,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
42,"Remind Me to Forget",Kygo,68484,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
43,"Ric Flair Drip (& Metro Boomin)",Offset,68311,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
44,"Guatemala - From Swaecation","Rae Sremmurd",68256,https://open.spotify.com/track/0TCnOEVeLQMXOUrpPlM7uY
45,"Jackie Chan",Tiësto,67385,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
46,JAPAN,"Famous Dex",66821,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
47,"Solo (feat. Demi Lovato)","Clean Bandit",63804,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
48,Somebody,"The Chainsmokers",63209,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
49,"All The Stars (with SZA)","Kendrick Lamar",63101,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
50,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2",Diplo,62081,https://open.spotify.com/track/5mqzhMuUpvnMfwNz6iepmO
51,Stay,"Post Malone",61990,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
52,"FAKE LOVE",BTS,60968,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
53,"Candy Paint","Post Malone",60422,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
54,"Rich & Sad","Post Malone",60387,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
55,Havana,"Camila Cabello",59748,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
56,"Where Were You In The Morning?","Shawn Mendes",59360,https://open.spotify.com/track/51wrmElSLxFzc0vSQPeTxs
57,"All Girls Are The Same","Juice WRLD",58574,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
58,"Watch (feat. Lil Uzi Vert & Kanye West)","Travis Scott",57136,https://open.spotify.com/track/3DoBTwfr8yi2LN08SBpFkN
59,Chun-Li,"Nicki Minaj",56628,https://open.spotify.com/track/2gTYVoQCUh0QNUaFix01ld
60,"92 Explorer","Post Malone",53992,https://open.spotify.com/track/1D2L6MefbXon28PzIk9I3r
61,"I Fall Apart","Post Malone",53524,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
62,"Over Now","Post Malone",52864,https://open.spotify.com/track/09IOPhEh1OMe0HD9b36FJk
63,"Freaky Friday (feat. Chris Brown)","Lil Dicky",51534,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
64,"Lost In Japan","Shawn Mendes",50067,https://open.spotify.com/track/6WBTeFDEfAJbaSUUc1V1xQ
65,Mine,Bazzi,50056,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
66,"Like To Be You feat. Julia Michaels","Shawn Mendes",49186,https://open.spotify.com/track/5QskYLFPX9y7pLU0VEMNbr
67,Heaven,"Kane Brown",48951,https://open.spotify.com/track/1HXy5I3HTWq8OvxCn0z7G7
68,X,"Nicky Jam",48814,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
69,"Zack And Codeine","Post Malone",48377,https://open.spotify.com/track/5lZZmityu9TAjNvSY6GLhR
70,"I Wanna Know (feat. Bea Miller)",NOTD,48328,https://open.spotify.com/track/18W92Zm1KjLCbUIszOhpkD
71,"Same Bitches (feat. G-Eazy & YG)","Post Malone",48030,https://open.spotify.com/track/688QpQAwqsLdBR6lr13wK1
72,"A$AP Forever REMIX","A$AP Rocky",47427,https://open.spotify.com/track/3oHkMCVJyOcjg5FhfLc2Rq
73,"Fallin' All In You","Shawn Mendes",46724,https://open.spotify.com/track/5I8oEqbk2ZBmQfXCrZbUFb
74,"New Rules","Dua Lipa",46456,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
75,1942,G-Eazy,46216,https://open.spotify.com/track/794QVQtFNy7hvtjQP1keQd
76,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",45852,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
77,Flames,"David Guetta",45808,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
78,IDGAF,"Dua Lipa",45418,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
79,"Sangria Wine","Pharrell Williams",45391,https://open.spotify.com/track/6XlSyYFTU1nodeWwwzVgTV
80,"XO TOUR Llif3","Lil Uzi Vert",45001,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
81,HUMBLE.,"Kendrick Lamar",44654,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
82,"Shape of You","Ed Sheeran",43854,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
83,"If You Know You Know","Pusha T",43834,https://open.spotify.com/track/6bGwKHXHNLmTy6yt147FPh
84,"Takin' Shots","Post Malone",43792,https://open.spotify.com/track/5ffntNJnJOeFv7b7DCd0Bw
85,"Fukk Sleep","A$AP Rocky",43598,https://open.spotify.com/track/1AqemxWsT0iGg5Lvkm16Bt
86,2002,Anne-Marie,43531,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
87,Familiar,"Liam Payne",43401,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
88,Unforgettable,"French Montana",42722,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
89,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",42486,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
90,Congratulations,"Post Malone",42045,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
91,"Pray For Me (with Kendrick Lamar)","The Weeknd",41689,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
92,Silence,Marshmello,40672,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
93,Tequila,"Dan + Shay",40596,https://open.spotify.com/track/7Il2yWQmsqKgSkLQvHTPUI
94,"Faith (feat. Quavo)",NAV,40525,https://open.spotify.com/track/3NelcGZ46JmV9LqOD1pnxA
95,"Because I Had You","Shawn Mendes",40517,https://open.spotify.com/track/7hlhojpax9zg2FNdBLY5ox
96,"Stir Fry",Migos,40178,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
97,Esskeetit,"Lil Pump",40153,https://open.spotify.com/track/44KKhCyI0BGS6LvVyDqJtH
98,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)","Rita Ora",39527,https://open.spotify.com/track/1YNQscOx6OqBQjxgJVhEeW
99,"New Light","John Mayer",39076,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
100,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",39071,https://open.spotify.com/track/0dSIrRkA4PadGll16TgbnV
101,"Never Be the Same","Camila Cabello",38945,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
102,Mutual,"Shawn Mendes",38772,https://open.spotify.com/track/0rrfXLr1p1yxsUy7LrKoYT
103,"Wanted You (feat. Lil Uzi Vert)",NAV,38683,https://open.spotify.com/track/1Faq8G2y56A8fRv7HsLq25
104,Otherside,"Post Malone",38434,https://open.spotify.com/track/4qWCFTuNnmGNdY4egtb4ZY
105,"Particular Taste","Shawn Mendes",38273,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU
106,"Be Careful","Cardi B",38233,https://open.spotify.com/track/2Yl4OmDby9iitgNWZPwxkd
107,"Young Dumb & Broke",Khalid,38093,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
108,Why,"Shawn Mendes",37893,https://open.spotify.com/track/1KXFoiT2n4QXRsFvhWNI4I
109,Moonlight,XXXTENTACION,37778,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
110,Perfect,"Ed Sheeran",37711,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
