Position,"Track Name",Artist,Streams,URL
1,"One Kiss (with Dua Lipa)","Calvin Harris",529678,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
2,"Nice For What",Drake,473379,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
3,"No Tears Left To Cry","Ariana Grande",369625,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
4,2002,Anne-Marie,369147,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
5,"Better Now","Post Malone",340542,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
6,"Freaky Friday (feat. Chris Brown)","Lil Dicky",329192,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
7,"Answerphone (feat. Yxng Bane)","Banx & Ranx",286150,https://open.spotify.com/track/1HagMz5nWk1HmevNCBOxF3
8,"I'll Be There","Jess Glynne",281214,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
9,"God's Plan",Drake,275544,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
10,"Love Lies (with Normani)",Khalid,263266,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
11,FRIENDS,Marshmello,252871,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
12,"Bad Vibe",M.O,249522,https://open.spotify.com/track/2aeKv96tpmi1T3ctpAZBqB
13,Paradise,"George Ezra",243247,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D
14,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,241106,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
15,German,EO,237295,https://open.spotify.com/track/7cwLbWHs42c8JmrW9BJZos
16,"This Is America","Childish Gambino",236833,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
17,"The Middle",Zedd,233055,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
18,Lullaby,Sigala,231845,https://open.spotify.com/track/5xzCzOAOfRi4DOttSzvznR
19,"Solo (feat. Demi Lovato)","Clean Bandit",224270,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
20,"Psycho (feat. Ty Dolla $ign)","Post Malone",217738,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
21,"In My Blood","Shawn Mendes",211882,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
22,"I Like It","Cardi B",210349,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
23,Flames,"David Guetta",195341,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
24,"This Is Me","Keala Settle",181811,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
25,"rockstar (feat. 21 Savage)","Post Malone",177440,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
26,Familiar,"Liam Payne",169808,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
27,"Back To You","Selena Gomez",168429,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
28,"I'm Upset",Drake,167698,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
29,Shotgun,"George Ezra",162984,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
30,"Man Down (feat. AlunaGeorge)",Shakka,158498,https://open.spotify.com/track/1keIwLlHg0VZhoQQiTb0Xi
31,"Feel It Still","Portugal. The Man",155446,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
32,IDGAF,"Dua Lipa",151778,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
33,"Look Alive (feat. Drake)","BlocBoy JB",149845,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
34,"All The Stars (with SZA)","Kendrick Lamar",149621,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
35,"Like I Do","David Guetta",149269,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
36,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",143362,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
37,"If You're Over Me","Years & Years",142637,https://open.spotify.com/track/01k24g94i1JvkFLQmVEdCd
38,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)","Rita Ora",142207,https://open.spotify.com/track/1YNQscOx6OqBQjxgJVhEeW
39,"The Greatest Show","Hugh Jackman",141714,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM
40,"Family Tree",Ramz,140821,https://open.spotify.com/track/17Bq9GjpPbiD1tRvfoMnJK
41,"Praise The Lord (Da Shine)","A$AP Rocky",140793,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
42,Nevermind,"Dennis Lloyd",140461,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
43,"New Rules","Dua Lipa",138849,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
44,Breathe,"Jax Jones",134388,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n
45,Havana,"Camila Cabello",132939,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
46,Jumanji,"B Young",132241,https://open.spotify.com/track/4PzsYXrHh4r2BxtpNjtvoF
47,"Rewrite The Stars","Zac Efron",131398,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
48,"Youth feat. Khalid","Shawn Mendes",130476,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
49,Vroom,"Yxng Bane",129097,https://open.spotify.com/track/7eiqpFevZkE7iHDfNm6VA0
50,Paranoid,"Post Malone",125399,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
51,"Oh My",Dappy,122508,https://open.spotify.com/track/4D6HSqoQGomDQAhNOqQnAE
52,"Tip Toe (feat. French Montana)","Jason Derulo",115852,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6
53,"Shape of You","Ed Sheeran",108726,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
54,17,MK,104720,https://open.spotify.com/track/15DwFznkBJir7AK9PyMyRR
55,"A Million Dreams","Ziv Zaifman",102616,https://open.spotify.com/track/0RoA7ObU6phWpqhlC9zH4Z
56,Youngblood,"5 Seconds of Summer",102072,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
57,"lovely (with Khalid)","Billie Eilish",101867,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
58,"Call Out My Name","The Weeknd",100482,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
59,Nervous,"Shawn Mendes",100055,https://open.spotify.com/track/0Dq49j3dELbttQVUJbtn0c
60,"Playinwitme (feat. Kehlani)",KYLE,99337,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
61,"Yes Indeed","Lil Baby",98160,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
62,"First Time",M-22,94089,https://open.spotify.com/track/6VG5Vmv8UVmCo8RLUfLlQz
63,"The Other Side","Hugh Jackman",94059,https://open.spotify.com/track/2cKovq3l6OJjhVVDbVKOsr
64,"Never Enough","Loren Allred",91513,https://open.spotify.com/track/0Gl5s8IhMmQE5YQwM8Qx1J
65,Barking,Ramz,90914,https://open.spotify.com/track/7amMgNDcObIDkIXv4xcvc2
66,"My Lover - Radio Edit",Not3s,90488,https://open.spotify.com/track/0A9y4c4dkI68IEnsRGtWil
67,"River (feat. Ed Sheeran)",Eminem,88879,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
68,"Lucid Dreams","Juice WRLD",87032,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
69,"Ball For Me (feat. Nicki Minaj)","Post Malone",86830,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
70,London,"AJ x Deno",86636,https://open.spotify.com/track/0lstGz2advSx5VqY8olvzt
71,"Mad Love","Sean Paul",85075,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf
72,"Mr. Brightside","The Killers",84883,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
73,"What I Wanna",MoStack,82197,https://open.spotify.com/track/7BzBPBF2SDWFCBS5SdIN2e
74,"I Wanna Know (feat. Bea Miller)",NOTD,81681,https://open.spotify.com/track/18W92Zm1KjLCbUIszOhpkD
75,SAD!,XXXTENTACION,81526,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
76,"Lost In Japan","Shawn Mendes",79468,https://open.spotify.com/track/6WBTeFDEfAJbaSUUc1V1xQ
77,"Spoil My Night (feat. Swae Lee)","Post Malone",79455,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
78,"Come Alive","Hugh Jackman",79408,https://open.spotify.com/track/5xNUR50KxswPRAvx7S163g
79,OTW,Khalid,77841,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
80,"From Now On","Hugh Jackman",77262,https://open.spotify.com/track/3IkWmgGsXbsafrunwPojXO
81,Africa,Toto,76921,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
82,Happier,"Ed Sheeran",76658,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
83,"One Dance",Drake,76349,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
84,"Done For Me (feat. Kehlani)","Charlie Puth",76152,https://open.spotify.com/track/1lsBTdE6MGsKeZCD6llNu7
85,Lyca,Swarmz,76118,https://open.spotify.com/track/0InksU0QzMCNS47OYeE90N
86,"Be Careful","Cardi B",76101,https://open.spotify.com/track/2Yl4OmDby9iitgNWZPwxkd
87,Stay,"Post Malone",75723,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
88,Perfect,"Ed Sheeran",75033,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
89,"Candy Paint","Post Malone",73646,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
90,"Too Good At Goodbyes","Sam Smith",73124,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
91,Anywhere,"Rita Ora",72250,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
92,"I Want You Back","The Jackson 5",71492,https://open.spotify.com/track/3b0EOvScbZUc0qJx0E1L2z
93,"Say Something","Justin Timberlake",71450,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
94,"Sit Back Down",Not3s,71228,https://open.spotify.com/track/7uAbIeiw12MKjpUQnH0SjL
95,"Castle on the Hill","Ed Sheeran",70956,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
96,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",70759,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
97,"Despacito - Remix","Luis Fonsi",70682,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
98,"Rich & Sad","Post Malone",70134,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
99,"I Fall Apart","Post Malone",70047,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
100,TATI,6ix9ine,68682,https://open.spotify.com/track/6kp0inxIexxSiDJfWqq0ZL
101,Chun-Li,"Nicki Minaj",68389,https://open.spotify.com/track/2gTYVoQCUh0QNUaFix01ld
102,"Where Were You In The Morning?","Shawn Mendes",68267,https://open.spotify.com/track/51wrmElSLxFzc0vSQPeTxs
103,"Over Now","Post Malone",67637,https://open.spotify.com/track/09IOPhEh1OMe0HD9b36FJk
104,"Taste (feat. Offset)",Tyga,67258,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
105,"Symphony (feat. Zara Larsson)","Clean Bandit",66453,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
106,"Walk It Talk It",Migos,66336,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
107,Budapest,"George Ezra",65460,https://open.spotify.com/track/7GJClzimvMSghjcrKxuf1M
108,"Galway Girl","Ed Sheeran",65449,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
109,Unforgettable,"French Montana",65345,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
110,"Fine Girl",ZieZie,64441,https://open.spotify.com/track/2H9zpvV33I48HE5jnNvWVB
111,Riptide,"Vance Joy",64321,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
112,"Like To Be You feat. Julia Michaels","Shawn Mendes",63855,https://open.spotify.com/track/5QskYLFPX9y7pLU0VEMNbr
113,Hunger,"Florence + The Machine",63611,https://open.spotify.com/track/6HJcuxVgYjxcYDnPG0ystc
114,"Wonderwall - Remastered",Oasis,63472,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
115,"Dog Days Are Over","Florence + The Machine",63025,https://open.spotify.com/track/1YLJVmuzeM2YSUkCCaTNUB
116,"Hearts Ain't Gonna Lie (with Jonas Blue)",Arlissa,62865,https://open.spotify.com/track/1bfPwJtmZdqv6MPY5Wr7eH
117,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",62536,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
118,Body,"Loud Luxury",62333,https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
119,"Jackie Chan",Tiësto,62088,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
120,"Remind Me to Forget",Kygo,61721,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
121,Cigarette,RAYE,61580,https://open.spotify.com/track/1GnfpjuZ1NUjEXSir7F8Hj
122,"You Make My Dreams - Remastered","Daryl Hall & John Oates",61248,https://open.spotify.com/track/4o6BgsqLIBViaGVbx5rbRk
123,"Fallin' All In You","Shawn Mendes",61172,https://open.spotify.com/track/5I8oEqbk2ZBmQfXCrZbUFb
124,"Wake Me Up - Radio Edit",Avicii,61119,https://open.spotify.com/track/6g1NlCpW7fgqDnWbCCDrHl
125,Tightrope,"Michelle Williams",61106,https://open.spotify.com/track/0GVuLQtPXFaL18ijEOqoAa
126,"No Roots","Alice Merton",60558,https://open.spotify.com/track/7anBA0IdgFaN3Pbyk2tog0
127,Believer,"Imagine Dragons",59487,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4
