Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,1519266,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,"Yes Indeed","Lil Baby",1374908,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
3,"Lucid Dreams","Juice WRLD",1217717,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
4,"Better Now","Post Malone",1166416,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
5,"God's Plan",Drake,1133538,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
6,"This Is America","Childish Gambino",1109184,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
7,"I'm Upset",Drake,1090080,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
8,"Psycho (feat. Ty Dolla $ign)","Post Malone",1019909,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
9,"Look Alive (feat. Drake)","BlocBoy JB",921413,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
10,"I Like It","Cardi B",921177,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
11,"Praise The Lord (Da Shine)","A$AP Rocky",750336,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
12,"rockstar (feat. 21 Savage)","Post Malone",744806,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
13,"Plug Walk","Rich The Kid",670750,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
14,"Walk It Talk It",Migos,667902,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
15,"Ric Flair Drip (& Metro Boomin)",Offset,659874,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
16,SAD!,XXXTENTACION,658898,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
17,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",638551,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
18,Paranoid,"Post Malone",635375,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
19,"No Tears Left To Cry","Ariana Grande",631090,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
20,"All Girls Are The Same","Juice WRLD",622952,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
21,"Ball For Me (feat. Nicki Minaj)","Post Malone",613149,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
22,"Love Lies (with Normani)",Khalid,586261,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
23,"Spoil My Night (feat. Swae Lee)","Post Malone",560665,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
24,OTW,Khalid,558966,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
25,"Playinwitme (feat. Kehlani)",KYLE,557570,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
26,TATI,6ix9ine,546742,https://open.spotify.com/track/6kp0inxIexxSiDJfWqq0ZL
27,JAPAN,"Famous Dex",541863,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
28,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",538571,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
29,"Back To You","Selena Gomez",535943,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
30,Stay,"Post Malone",534271,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
31,"Call Out My Name","The Weeknd",525669,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
32,"Rich & Sad","Post Malone",522135,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
33,"I Fall Apart","Post Malone",521033,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
34,"Freaky Friday (feat. Chris Brown)","Lil Dicky",516175,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
35,"One Kiss (with Dua Lipa)","Calvin Harris",514038,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
36,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",512212,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
37,"Candy Paint","Post Malone",507248,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
38,"In My Blood","Shawn Mendes",499933,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
39,KOD,"J. Cole",498009,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
40,"lovely (with Khalid)","Billie Eilish",494370,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
41,Youngblood,"5 Seconds of Summer",484400,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
42,"Watch (feat. Lil Uzi Vert & Kanye West)","Travis Scott",476904,https://open.spotify.com/track/3DoBTwfr8yi2LN08SBpFkN
43,"Te Boté - Remix","Nio Garcia",469446,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
44,"Youth feat. Khalid","Shawn Mendes",466555,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
45,"The Middle",Zedd,464282,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
